"last_name, first_name","player_id","oaa","n_fieldout_5stars","n_opp_5stars","n_5star_percent","n_fieldout_4stars","n_opp_4stars","n_4star_percent","n_fieldout_3stars","n_opp_3stars","n_3star_percent","n_fieldout_2stars","n_opp_2stars","n_2star_percent","n_fieldout_1stars","n_opp_1stars","n_1star_percent"
"Larnach, Trevor",663616,"-2","0","6","0.0","0","2","0.0","2","6","33.3","6","6","100.0","13","13","100.0"
"Adams, Jordyn",677941,"-2","0","2","0.0","0","1","0.0","0","0",,"0","0",,"3","3","100.0"
"Canha, Mark",592192,"-2","0","9","0.0","0","6","0.0","5","7","71.4","6","7","85.7","11","12","91.7"
"Smith, Pavin",656976,"-2","0","6","0.0","1","2","50.0","0","2","0.0","4","4","100.0","2","2","100.0"
"Calhoun, Willie",641432,"-2","0","1","0.0","0","2","0.0","0","1","0.0","0","0",,"0","0",
"Tapia, Raimel",606132,"-2","0","6","0.0","1","2","50.0","2","3","66.7","0","1","0.0","3","5","60.0"
"Dahl, David",621311,"-2","0","2","0.0","0","0",,"0","1","0.0","0","1","0.0","0","0",
"Barrero, Jose",676480,"-2","0","2","0.0","0","0",,"1","3","33.3","1","1","100.0","3","4","75.0"
"Haggerty, Sam",664059,"-2","0","2","0.0","0","0",,"0","2","0.0","3","4","75.0","0","0",
"Lowe, Josh",666139,"-2","0","13","0.0","0","3","0.0","8","12","66.7","16","18","88.9","15","17","88.2"
"Remillard, Zach",621545,"-2","0","1","0.0","1","2","50.0","0","2","0.0","0","0",,"1","2","50.0"
"Gonzalez, Romy",663853,"-2","0","0",,"0","0",,"0","1","0.0","1","1","100.0","1","2","50.0"
"Cordero, Franchy",614173,"-2","0","3","0.0","0","1","0.0","1","2","50.0","0","0",,"2","3","66.7"
"Canzone, Dominic",686527,"-2","0","3","0.0","0","1","0.0","0","1","0.0","6","8","75.0","9","9","100.0"
"Hicks, Aaron",543305,"-3","0","12","0.0","2","9","22.2","5","11","45.5","13","14","92.9","6","7","85.7"
"Stanton, Giancarlo",519317,"-3","0","4","0.0","0","2","0.0","0","2","0.0","0","0",,"6","6","100.0"
"Duvall, Adam",594807,"-3","1","16","6.3","2","5","40.0","1","5","20.0","8","12","66.7","13","13","100.0"
"Haniger, Mitch",571745,"-3","0","8","0.0","0","1","0.0","2","5","40.0","5","7","71.4","9","9","100.0"
"Palacios, Richie",680700,"-3","0","5","0.0","0","2","0.0","2","7","28.6","5","6","83.3","6","6","100.0"
"Capel, Conner",668843,"-3","0","3","0.0","0","0",,"0","2","0.0","4","5","80.0","4","5","80.0"
"Soler, Jorge",624585,"-3","0","4","0.0","0","2","0.0","2","4","50.0","1","2","50.0","4","5","80.0"
"Refsnyder, Rob",608701,"-3","0","4","0.0","0","3","0.0","3","6","50.0","4","6","66.7","7","8","87.5"
"Alvarez, Yordan",670541,"-3","0","6","0.0","0","3","0.0","0","1","0.0","1","3","33.3","6","6","100.0"
"Anderson, Brian",605119,"-3","0","4","0.0","0","2","0.0","1","2","50.0","2","3","66.7","4","4","100.0"
"Conforto, Michael",624424,"-3","0","19","0.0","1","3","33.3","4","8","50.0","10","14","71.4","19","19","100.0"
"Bleday, JJ",668709,"-3","0","15","0.0","1","7","14.3","4","7","57.1","10","13","76.9","14","14","100.0"
"Benson, Will",666181,"-3","0","14","0.0","1","6","16.7","9","15","60.0","9","13","69.2","23","23","100.0"
"Velázquez, Nelson",676369,"-3","0","2","0.0","0","2","0.0","1","5","20.0","3","4","75.0","5","5","100.0"
"Harrison, Josh",543281,"-3","0","0",,"0","1","0.0","0","1","0.0","0","0",,"0","0",
"Peralta, David",444482,"-3","0","15","0.0","1","4","25.0","6","12","50.0","11","13","84.6","18","20","90.0"
"Carpenter, Kerry",681481,"-3","0","8","0.0","2","9","22.2","5","10","50.0","14","15","93.3","14","17","82.4"
"Frazier, Clint",640449,"-3","0","2","0.0","1","3","33.3","0","1","0.0","2","2","100.0","1","2","50.0"
"Robles, Victor",645302,"-3","0","6","0.0","1","4","25.0","1","2","50.0","7","10","70.0","10","12","83.3"
"Morel, Christopher",666624,"-4","0","3","0.0","1","5","20.0","0","0",,"5","7","71.4","4","7","57.1"
"Jones, Nolan",666134,"-4","0","14","0.0","2","8","25.0","4","8","50.0","6","8","75.0","16","17","94.1"
"Reynolds, Bryan",668804,"-4","0","16","0.0","1","6","16.7","5","9","55.6","15","17","88.2","21","22","95.5"
"Bauers, Jake",641343,"-4","1","12","8.3","1","8","12.5","7","9","77.8","5","7","71.4","5","5","100.0"
"Steer, Spencer",668715,"-4","0","13","0.0","1","6","16.7","2","4","50.0","5","6","83.3","4","4","100.0"
"Pederson, Joc",592626,"-4","0","3","0.0","0","2","0.0","1","2","50.0","2","5","40.0","4","4","100.0"
"Wallner, Matt",670242,"-4","0","6","0.0","0","4","0.0","1","7","14.3","5","5","100.0","13","15","86.7"
"Rooker, Brent",667670,"-5","0","5","0.0","0","4","0.0","0","4","0.0","6","7","85.7","5","6","83.3"
"Grossman, Robbie",543257,"-5","0","15","0.0","1","3","33.3","2","4","50.0","6","9","66.7","8","8","100.0"
"Bryant, Kris",592178,"-5","0","11","0.0","0","4","0.0","0","1","0.0","8","10","80.0","8","9","88.9"
"Renfroe, Hunter",592669,"-5","0","30","0.0","0","8","0.0","7","9","77.8","8","9","88.9","14","17","82.4"
"Merrifield, Whit",593160,"-5","0","9","0.0","4","8","50.0","7","16","43.8","9","11","81.8","9","10","90.0"
"Matos, Luis",682641,"-5","0","10","0.0","0","5","0.0","6","12","50.0","11","14","78.6","9","10","90.0"
"Castellanos, Nick",592206,"-5","0","20","0.0","1","16","6.3","4","10","40.0","11","12","91.7","26","26","100.0"
"Tucker, Kyle",663656,"-6","0","23","0.0","4","16","25.0","9","21","42.9","21","25","84.0","35","38","92.1"
"Marte, Starling",516782,"-6","0","12","0.0","1","4","25.0","3","9","33.3","7","10","70.0","17","19","89.5"
"Davis, Henry",680779,"-6","0","11","0.0","0","3","0.0","2","5","40.0","6","9","66.7","5","7","71.4"
"Arozarena, Randy",668227,"-6","0","24","0.0","1","10","10.0","8","14","57.1","23","27","85.2","12","14","85.7"
"Gonzalez, Oscar",660757,"-6","0","6","0.0","0","3","0.0","1","3","33.3","6","9","66.7","7","8","87.5"
"De La Cruz, Bryan",650559,"-7","0","33","0.0","0","11","0.0","7","14","50.0","26","31","83.9","19","19","100.0"
"Grichuk, Randal",545341,"-7","0","27","0.0","1","7","14.3","5","9","55.6","9","12","75.0","23","24","95.8"
"Happ, Ian",664023,"-7","0","22","0.0","2","6","33.3","7","18","38.9","25","27","92.6","16","18","88.9"
"Burleson, Alec",676475,"-7","0","9","0.0","0","3","0.0","1","7","14.3","2","3","66.7","6","6","100.0"
"Olivares, Edward",658668,"-7","0","11","0.0","0","5","0.0","1","5","20.0","3","4","75.0","6","8","75.0"
"Acuña Jr., Ronald",660670,"-8","0","20","0.0","0","11","0.0","13","18","72.2","14","18","77.8","27","28","96.4"
"Senzel, Nick",669222,"-8","0","4","0.0","0","3","0.0","1","3","33.3","3","6","50.0","9","13","69.2"
"Yoshida, Masataka",807799,"-8","0","14","0.0","1","5","20.0","3","5","60.0","9","15","60.0","16","19","84.2"
"Soto, Juan",665742,"-9","0","30","0.0","4","16","25.0","6","10","60.0","15","21","71.4","17","18","94.4"
"Benintendi, Andrew",643217,"-11","1","25","4.0","1","11","9.1","4","8","50.0","16","24","66.7","20","20","100.0"
"Melendez, MJ",669004,"-11","0","22","0.0","2","16","12.5","6","12","50.0","15","17","88.2","18","22","81.8"
"Profar, Jurickson",595777,"-14","0","12","0.0","1","8","12.5","1","9","11.1","9","13","69.2","12","15","80.0"
"Walker, Jordan",691023,"-14","0","16","0.0","2","14","14.3","3","13","23.1","8","13","61.5","12","14","85.7"
"Schwarber, Kyle",656941,"-19","0","18","0.0","0","11","0.0","0","11","0.0","9","15","60.0","20","22","90.9"
